ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,absFC,SignificantPval,SignificantLogFC,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSMUSG00000017716,819.1854762,2.86105542,0.134423511,21.28389146,1.60E-100,8.97E-98,2.86105542,TRUE,TRUE,11,117740077,117746569,1,protein_coding,Birc5,baculoviral IAP repeat-containing 5 [Source:MGI Symbol;Acc:MGI:1203517]
ENSMUSG00000022351,1240.550238,2.273211391,0.106997535,21.24545579,3.63E-100,1.98E-97,2.273211391,TRUE,TRUE,15,59186926,59203041,1,protein_coding,Sqle,squalene epoxidase [Source:MGI Symbol;Acc:MGI:109296]
ENSMUSG00000021377,3359.297154,1.666801885,0.078760867,21.16281788,2.10E-99,1.12E-96,1.666801885,TRUE,TRUE,13,47238251,47259677,-1,protein_coding,Dek,DEK proto-oncogene (DNA binding) [Source:MGI Symbol;Acc:MGI:1926209]
ENSMUSG00000046179,539.4782697,3.266424573,0.154422243,21.15255236,2.61E-99,1.36E-96,3.266424573,TRUE,TRUE,7,48516177,48531344,-1,protein_coding,E2f8,E2F transcription factor 8 [Source:MGI Symbol;Acc:MGI:1922038]
ENSMUSG00000035455,467.7986205,2.639315159,0.125277995,21.06766767,1.58E-98,7.98E-96,2.639315159,TRUE,TRUE,11,11737431,11758962,-1,protein_coding,Fignl1,fidgetin-like 1 [Source:MGI Symbol;Acc:MGI:1890648]
ENSMUSG00000005233,501.8905682,2.961568196,0.141045154,20.9973056,6.94E-98,3.44E-95,2.961568196,TRUE,TRUE,2,69024239,69036538,-1,protein_coding,Spc25,"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913692]"
ENSMUSG00000028175,253.4356338,2.625858342,0.125751296,20.88136201,7.91E-97,3.83E-94,2.625858342,TRUE,TRUE,3,159201070,159235592,1,protein_coding,Depdc1a,DEP domain containing 1a [Source:MGI Symbol;Acc:MGI:1923381]
ENSMUSG00000025574,1120.077136,2.429078705,0.116581995,20.83579629,2.05E-96,9.70E-94,2.429078705,TRUE,TRUE,11,117706352,117716918,-1,protein_coding,Tk1,thymidine kinase 1 [Source:MGI Symbol;Acc:MGI:98763]
ENSMUSG00000042489,762.5019433,3.403698855,0.165403466,20.57815918,4.31E-94,1.99E-91,3.403698855,TRUE,TRUE,4,126450728,126487696,1,protein_coding,Clspn,claspin [Source:MGI Symbol;Acc:MGI:2445153]
ENSMUSG00000029366,1421.216326,1.937358855,0.094351619,20.53339275,1.08E-93,4.91E-91,1.937358855,TRUE,TRUE,5,88912855,88931140,1,protein_coding,Dck,deoxycytidine kinase [Source:MGI Symbol;Acc:MGI:102726]
ENSMUSG00000000751,2007.688012,1.57367132,0.076838907,20.4801366,3.24E-93,1.44E-90,1.57367132,TRUE,TRUE,11,75188992,75239150,-1,protein_coding,Rpa1,replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]
ENSMUSG00000022033,398.8191102,3.044158763,0.148804637,20.45741867,5.16E-93,2.24E-90,3.044158763,TRUE,TRUE,14,66043286,66055271,1,protein_coding,Pbk,PDZ binding kinase [Source:MGI Symbol;Acc:MGI:1289156]
ENSMUSG00000032555,2327.379104,1.663750308,0.081468787,20.42193546,1.07E-92,4.54E-90,1.663750308,TRUE,TRUE,9,103182414,103227627,1,protein_coding,Topbp1,topoisomerase (DNA) II binding protein 1 [Source:MGI Symbol;Acc:MGI:1920018]
ENSMUSG00000026669,412.1874381,3.333131473,0.163322631,20.40826462,1.41E-92,5.89E-90,3.333131473,TRUE,TRUE,2,4994525,5017602,-1,protein_coding,Mcm10,minichromosome maintenance 10 replication initiation factor [Source:MGI Symbol;Acc:MGI:1917274]
ENSMUSG00000039187,359.4796626,3.305690706,0.16339313,20.23151586,5.17E-91,2.12E-88,3.305690706,TRUE,TRUE,7,79041677,79100012,1,protein_coding,Fanci,"Fanconi anemia, complementation group I [Source:MGI Symbol;Acc:MGI:2384790]"
ENSMUSG00000040084,2252.970186,1.840180032,0.091542252,20.10197471,7.09E-90,2.85E-87,1.840180032,TRUE,TRUE,2,118428692,118472072,1,protein_coding,Bub1b,"BUB1B, mitotic checkpoint serine/threonine kinase [Source:MGI Symbol;Acc:MGI:1333889]"
ENSMUSG00000020897,804.7966944,2.790105258,0.139747735,19.96529859,1.10E-88,4.35E-86,2.790105258,TRUE,TRUE,11,68936473,68942490,1,protein_coding,Aurkb,aurora kinase B [Source:MGI Symbol;Acc:MGI:107168]
ENSMUSG00000051220,370.5020348,3.032581695,0.152283172,19.91409592,3.07E-88,1.19E-85,3.032581695,TRUE,TRUE,X,101185322,101200697,-1,protein_coding,Ercc6l,excision repair cross-complementing rodent repair deficiency complementation group 6 like [Source:MGI Symbol;Acc:MGI:2654144]
ENSMUSG00000022360,2961.815581,2.288305696,0.115017088,19.8953542,4.46E-88,1.70E-85,2.288305696,TRUE,TRUE,15,57957440,57998478,-1,protein_coding,Atad2,"ATPase family, AAA domain containing 2 [Source:MGI Symbol;Acc:MGI:1917722]"
ENSMUSG00000032254,1902.129184,2.216046627,0.11171391,19.8368013,1.43E-87,5.35E-85,2.216046627,TRUE,TRUE,9,61823187,61854056,-1,protein_coding,Kif23,kinesin family member 23 [Source:MGI Symbol;Acc:MGI:1919069]
ENSMUSG00000024165,1507.928667,2.03471688,0.104069776,19.55146789,4.01E-85,1.47E-82,2.03471688,TRUE,TRUE,17,25156393,25179663,-1,protein_coding,Jpt2,Jupiter microtubule associated homolog 2 [Source:MGI Symbol;Acc:MGI:1196260]
ENSMUSG00000030867,660.3363426,2.875338919,0.147814842,19.45230187,2.79E-84,1.01E-81,2.875338919,TRUE,TRUE,7,121758662,121769096,1,protein_coding,Plk1,polo like kinase 1 [Source:MGI Symbol;Acc:MGI:97621]
ENSMUSG00000033222,1136.465573,1.278323141,0.06601713,19.3635066,1.57E-83,5.56E-81,1.278323141,TRUE,TRUE,3,100846176,100876979,-1,protein_coding,Ttf2,"transcription termination factor, RNA polymerase II [Source:MGI Symbol;Acc:MGI:1921294]"
ENSMUSG00000057236,3571.119087,1.012866256,0.052369536,19.34075299,2.44E-83,8.51E-81,1.012866256,TRUE,TRUE,4,129200893,129229163,-1,protein_coding,Rbbp4,"retinoblastoma binding protein 4, chromatin remodeling factor [Source:MGI Symbol;Acc:MGI:1194912]"
ENSMUSG00000022945,451.7042111,1.938313848,0.100410415,19.30391232,4.98E-83,1.71E-80,1.938313848,TRUE,TRUE,16,93680789,93703003,1,protein_coding,Chaf1b,"chromatin assembly factor 1, subunit B (p60) [Source:MGI Symbol;Acc:MGI:1314881]"
ENSMUSG00000018362,2917.703231,2.160417519,0.112085844,19.2746688,8.77E-83,2.96E-80,2.160417519,TRUE,TRUE,11,106879455,106890367,-1,protein_coding,Kpna2,karyopherin (importin) alpha 2 [Source:MGI Symbol;Acc:MGI:103561]
ENSMUSG00000028678,486.9657867,2.979982089,0.155866892,19.11876252,1.76E-81,5.86E-79,2.979982089,TRUE,TRUE,4,117016836,117039836,-1,protein_coding,Kif2c,kinesin family member 2C [Source:MGI Symbol;Acc:MGI:1921054]
ENSMUSG00000017146,660.1449609,3.243479721,0.169721847,19.11056101,2.06E-81,6.75E-79,3.243479721,TRUE,TRUE,11,101379590,101442781,-1,protein_coding,Brca1,"breast cancer 1, early onset [Source:MGI Symbol;Acc:MGI:104537]"
ENSMUSG00000023015,1618.961655,2.70268732,0.141610629,19.08534227,3.34E-81,1.08E-78,2.70268732,TRUE,TRUE,15,99518377,99549537,-1,protein_coding,Racgap1,Rac GTPase-activating protein 1 [Source:MGI Symbol;Acc:MGI:1349423]
ENSMUSG00000025154,621.0392542,2.89453045,0.151872939,19.05889529,5.54E-81,1.76E-78,2.89453045,TRUE,TRUE,19,41755027,41790486,-1,protein_coding,Arhgap19,Rho GTPase activating protein 19 [Source:MGI Symbol;Acc:MGI:1918335]
ENSMUSG00000046591,320.4363985,2.583863665,0.135641521,19.04920886,6.67E-81,2.09E-78,2.583863665,TRUE,TRUE,7,79309944,79347896,1,protein_coding,Ticrr,TOPBP1-interacting checkpoint and replication regulator [Source:MGI Symbol;Acc:MGI:1924261]
ENSMUSG00000005043,213.0364896,-3.165815194,0.166229332,-19.04486505,7.25E-81,2.24E-78,3.165815194,TRUE,TRUE,11,119234251,119246362,-1,protein_coding,Sgsh,N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:MGI Symbol;Acc:MGI:1350341]
ENSMUSG00000046295,221.1833793,3.853075559,0.202701153,19.0086514,1.45E-80,4.40E-78,3.853075559,TRUE,TRUE,8,71858654,71862548,1,protein_coding,Ankle1,ankyrin repeat and LEM domain containing 1 [Source:MGI Symbol;Acc:MGI:1918775]
ENSMUSG00000032815,395.7504419,3.38270992,0.179990877,18.79378539,8.49E-79,2.55E-76,3.38270992,TRUE,TRUE,8,123995039,124045315,-1,protein_coding,Fanca,"Fanconi anemia, complementation group A [Source:MGI Symbol;Acc:MGI:1341823]"
ENSMUSG00000021569,275.2025566,2.616349774,0.139391633,18.76977638,1.33E-78,3.94E-76,2.616349774,TRUE,TRUE,13,74059466,74085903,-1,protein_coding,Trip13,thyroid hormone receptor interactor 13 [Source:MGI Symbol;Acc:MGI:1916966]
ENSMUSG00000002068,322.323146,3.065614987,0.164254721,18.66378615,9.76E-78,2.81E-75,3.065614987,TRUE,TRUE,7,37797409,37806959,-1,protein_coding,Ccne1,cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]
ENSMUSG00000034329,454.5404973,2.944348919,0.157898067,18.64714986,1.33E-77,3.78E-75,2.944348919,TRUE,TRUE,11,85948964,86092019,-1,protein_coding,Brip1,BRCA1 interacting protein C-terminal helicase 1 [Source:MGI Symbol;Acc:MGI:2442836]
ENSMUSG00000027454,255.743156,2.819645857,0.151216455,18.64642214,1.35E-77,3.78E-75,2.819645857,TRUE,TRUE,2,150747320,150773200,1,protein_coding,Gins1,GINS complex subunit 1 (Psf1 homolog) [Source:MGI Symbol;Acc:MGI:1916520]
ENSMUSG00000020330,848.7243911,2.417154784,0.130308268,18.54951201,8.23E-77,2.27E-74,2.417154784,TRUE,TRUE,11,40592222,40624249,-1,protein_coding,Hmmr,hyaluronan mediated motility receptor (RHAMM) [Source:MGI Symbol;Acc:MGI:104667]
ENSMUSG00000017550,487.9861745,2.173421503,0.117411285,18.51118054,1.68E-76,4.58E-74,2.173421503,TRUE,TRUE,11,79980226,80026620,1,protein_coding,Atad5,"ATPase family, AAA domain containing 5 [Source:MGI Symbol;Acc:MGI:2442925]"
ENSMUSG00000026134,620.5546868,1.788308246,0.096832265,18.46810311,3.73E-76,1.00E-73,1.788308246,TRUE,TRUE,1,33492891,33708876,-1,protein_coding,Prim2,"DNA primase, p58 subunit [Source:MGI Symbol;Acc:MGI:97758]"
ENSMUSG00000024677,118.3788172,-4.266337083,0.231937297,-18.39435542,1.46E-75,3.88E-73,4.266337083,TRUE,TRUE,19,11493876,11508620,1,protein_coding,Ms4a6b,"membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]"
ENSMUSG00000054717,1816.233043,2.151970256,0.117304115,18.34522386,3.60E-75,9.47E-73,2.151970256,TRUE,TRUE,8,57964941,57969033,1,protein_coding,Hmgb2,high mobility group box 2 [Source:MGI Symbol;Acc:MGI:96157]
ENSMUSG00000048327,849.4209051,2.513396495,0.137110762,18.33113949,4.67E-75,1.21E-72,2.513396495,TRUE,TRUE,2,129110130,129139132,-1,protein_coding,Ckap2l,cytoskeleton associated protein 2-like [Source:MGI Symbol;Acc:MGI:1917716]
ENSMUSG00000022322,456.1416611,2.806598087,0.15342212,18.293308,9.36E-75,2.40E-72,2.806598087,TRUE,TRUE,8,4785976,4829567,-1,protein_coding,Shcbp1,Shc SH2-domain binding protein 1 [Source:MGI Symbol;Acc:MGI:1338802]
ENSMUSG00000002835,921.0511014,2.851518497,0.156271935,18.24715675,2.18E-74,5.39E-72,2.851518497,TRUE,TRUE,17,56347439,56379289,1,protein_coding,Chaf1a,"chromatin assembly factor 1, subunit A (p150) [Source:MGI Symbol;Acc:MGI:1351331]"
ENSMUSG00000035929,1559.952445,-1.496939014,0.082035977,-18.24734788,2.17E-74,5.39E-72,1.496939014,TRUE,TRUE,17,35598593,35604266,1,protein_coding,H2-Q4,"histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]"
ENSMUSG00000037572,677.6438795,2.727141234,0.149454991,18.24724098,2.18E-74,5.39E-72,2.727141234,TRUE,TRUE,14,47478401,47514314,-1,protein_coding,Wdhd1,WD repeat and HMG-box DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:2443514]
ENSMUSG00000029836,1822.851238,1.696487016,0.093093206,18.22353193,3.36E-74,8.21E-72,1.696487016,TRUE,TRUE,6,51447340,51460684,1,protein_coding,Cbx3,chromobox 3 [Source:MGI Symbol;Acc:MGI:108515]
ENSMUSG00000023104,884.1514242,1.690623568,0.092799736,18.21797818,3.72E-74,8.99E-72,1.690623568,TRUE,TRUE,5,134610220,134630659,1,protein_coding,Rfc2,replication factor C (activator 1) 2 [Source:MGI Symbol;Acc:MGI:1341868]
ENSMUSG00000004642,1425.679853,1.418172784,0.07787843,18.21008438,4.29E-74,1.03E-71,1.418172784,TRUE,TRUE,5,33792296,33809918,-1,protein_coding,Slbp,stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]
ENSMUSG00000026039,398.9725183,2.72207255,0.150028229,18.14373585,1.44E-73,3.40E-71,2.72207255,TRUE,TRUE,1,58035130,58065058,1,protein_coding,Sgo2a,shugoshin 2A [Source:MGI Symbol;Acc:MGI:1098767]
ENSMUSG00000034906,755.8104035,2.662043186,0.147218344,18.08227915,4.40E-73,1.03E-70,2.662043186,TRUE,TRUE,2,126945729,126975874,-1,protein_coding,Ncaph,"non-SMC condensin I complex, subunit H [Source:MGI Symbol;Acc:MGI:2444777]"
ENSMUSG00000031821,1140.154175,2.327659244,0.129665856,17.95121184,4.70E-72,1.09E-69,2.327659244,TRUE,TRUE,8,121305372,121316043,-1,protein_coding,Gins2,GINS complex subunit 2 (Psf2 homolog) [Source:MGI Symbol;Acc:MGI:1921019]
ENSMUSG00000085208,1624.716715,1.734464459,0.096784897,17.92081739,8.11E-72,1.86E-69,1.734464459,TRUE,TRUE,11,86092137,86195269,1,lncRNA,Brip1os,"BRCA1 interacting protein C-terminal helicase 1, opposite strand [Source:MGI Symbol;Acc:MGI:1921288]"
ENSMUSG00000024742,832.9509063,1.759745105,0.098382154,17.88683237,1.49E-71,3.38E-69,1.759745105,TRUE,TRUE,19,10176496,10181533,-1,protein_coding,Fen1,flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779]
ENSMUSG00000058258,1671.923556,2.291095894,0.128513509,17.82766588,4.31E-71,9.66E-69,2.291095894,TRUE,TRUE,13,8935537,8942487,1,protein_coding,Idi1,isopentenyl-diphosphate delta isomerase [Source:MGI Symbol;Acc:MGI:2442264]
ENSMUSG00000021965,225.865704,3.093710596,0.173949526,17.78510509,9.22E-71,2.04E-68,3.093710596,TRUE,TRUE,14,58044018,58063642,-1,protein_coding,Ska3,spindle and kinetochore associated complex subunit 3 [Source:MGI Symbol;Acc:MGI:3041235]
ENSMUSG00000027469,1441.265134,2.438061252,0.138060163,17.65941165,8.61E-70,1.89E-67,2.438061252,TRUE,TRUE,2,152689884,152737241,1,protein_coding,Tpx2,"TPX2, microtubule-associated [Source:MGI Symbol;Acc:MGI:1919369]"
ENSMUSG00000019942,969.9070111,2.794673555,0.158328247,17.65113688,9.97E-70,2.17E-67,2.794673555,TRUE,TRUE,10,69170976,69188768,-1,protein_coding,Cdk1,cyclin-dependent kinase 1 [Source:MGI Symbol;Acc:MGI:88351]
ENSMUSG00000027306,1027.312486,2.727498218,0.154726288,17.6278915,1.50E-69,3.23E-67,2.727498218,TRUE,TRUE,2,119448779,119481725,1,protein_coding,Nusap1,nucleolar and spindle associated protein 1 [Source:MGI Symbol;Acc:MGI:2675669]
ENSMUSG00000023505,788.4675825,2.84786227,0.161698831,17.61213888,1.99E-69,4.23E-67,2.84786227,TRUE,TRUE,6,124806510,124810664,1,protein_coding,Cdca3,cell division cycle associated 3 [Source:MGI Symbol;Acc:MGI:1315198]
ENSMUSG00000093930,3477.762689,1.748560362,0.099350471,17.59992025,2.47E-69,5.20E-67,1.748560362,TRUE,TRUE,13,120151915,120169796,1,protein_coding,Hmgcs1,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
ENSMUSG00000041498,463.767612,2.783872495,0.158246656,17.59198308,2.84E-69,5.92E-67,2.783872495,TRUE,TRUE,1,136394081,136459249,1,protein_coding,Kif14,kinesin family member 14 [Source:MGI Symbol;Acc:MGI:1098226]
ENSMUSG00000020493,555.98674,2.273495469,0.129398426,17.56973054,4.20E-69,8.68E-67,2.273495469,TRUE,TRUE,11,86979979,86999534,-1,protein_coding,Prr11,proline rich 11 [Source:MGI Symbol;Acc:MGI:2444496]
ENSMUSG00000024056,496.2606229,2.940662077,0.167493483,17.55687458,5.27E-69,1.08E-66,2.940662077,TRUE,TRUE,17,71803095,71833852,-1,protein_coding,Ndc80,NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914302]
ENSMUSG00000001517,1055.038657,2.843119177,0.162205462,17.52788799,8.78E-69,1.78E-66,2.843119177,TRUE,TRUE,6,128339930,128353109,1,protein_coding,Foxm1,forkhead box M1 [Source:MGI Symbol;Acc:MGI:1347487]
ENSMUSG00000038379,255.9375977,3.248754341,0.185383689,17.52448858,9.32E-69,1.87E-66,3.248754341,TRUE,TRUE,9,83716742,83754442,1,protein_coding,Ttk,Ttk protein kinase [Source:MGI Symbol;Acc:MGI:1194921]
ENSMUSG00000051378,290.1141408,2.893748754,0.165144433,17.52253281,9.64E-69,1.92E-66,2.893748754,TRUE,TRUE,11,102796355,102815950,-1,protein_coding,Kif18b,kinesin family member 18B [Source:MGI Symbol;Acc:MGI:2446979]
